iter	Precision:class=0_SumError	Precision:class=0_SumWeight	Precision:class=1_SumError	Precision:class=1_SumWeight	Precision:class=2_SumError	Precision:class=2_SumWeight	Recall:class=0_SumError	Recall:class=0_SumWeight	Recall:class=1_SumError	Recall:class=1_SumWeight	Recall:class=2_SumError	Recall:class=2_SumWeight
0	164	377	14	52	138	287	164	234	14	254	138	228
1	164	387	24	68	130	261	164	234	24	254	130	228
2	138	260	67	181	140	275	138	234	67	254	140	228
3	144	270	77	203	132	243	144	234	77	254	132	228
4	134	254	71	209	136	253	134	234	71	254	136	228
5	142	261	66	190	140	265	142	234	66	254	140	228
6	138	254	71	201	138	261	138	234	71	254	138	228
7	154	275	71	209	130	232	154	234	71	254	130	228
8	164	291	73	181	140	244	164	234	73	254	140	228
9	160	280	68	180	148	256	160	234	68	254	148	228
10	162	287	64	170	146	259	162	234	64	254	146	228
11	162	284	62	174	144	258	162	234	62	254	144	228
12	160	285	58	162	152	269	160	234	58	254	152	228
13	164	288	58	154	154	274	164	234	58	254	154	228
14	164	290	58	158	152	268	164	234	58	254	152	228
15	166	290	62	158	154	268	166	234	62	254	154	228
16	162	283	66	160	162	273	162	234	66	254	162	228
17	160	279	63	145	174	292	160	234	63	254	174	228
18	160	275	66	154	170	287	160	234	66	254	170	228
19	158	278	62	142	180	296	158	234	62	254	180	228
20	154	270	67	145	186	301	154	234	67	254	186	228
21	152	267	66	142	190	307	152	234	66	254	190	228
22	150	261	73	151	190	304	150	234	73	254	190	228
23	148	252	76	170	188	294	148	234	76	254	188	228
24	138	243	74	180	188	293	138	234	74	254	188	228
25	140	242	75	185	184	289	140	234	75	254	184	228
26	138	241	76	184	186	291	138	234	76	254	186	228
27	140	245	76	186	184	285	140	234	76	254	184	228
28	146	254	76	172	190	290	146	234	76	254	190	228
29	144	256	71	173	186	287	144	234	71	254	186	228
30	146	250	75	181	186	285	146	234	75	254	186	228
31	148	249	74	178	186	289	148	234	74	254	186	228
32	148	248	75	179	188	289	148	234	75	254	188	228
33	150	248	78	186	184	282	150	234	78	254	184	228
34	146	244	79	191	186	281	146	234	79	254	186	228
35	150	251	77	187	184	278	150	234	77	254	184	228
36	148	245	81	197	180	274	148	234	81	254	180	228
37	148	245	80	194	182	277	148	234	80	254	182	228
38	146	244	77	191	182	281	146	234	77	254	182	228
39	148	247	75	187	182	282	148	234	75	254	182	228
40	148	248	75	189	180	279	148	234	75	254	180	228
41	150	251	74	184	182	281	150	234	74	254	182	228
42	150	251	76	180	186	285	150	234	76	254	186	228
43	146	252	73	183	184	281	146	234	73	254	184	228
44	146	249	75	183	186	284	146	234	75	254	186	228
45	142	245	74	186	186	285	142	234	74	254	186	228
46	142	244	75	189	184	283	142	234	75	254	184	228
47	130	229	81	207	184	280	130	234	81	254	184	228
48	132	231	81	209	180	276	132	234	81	254	180	228
49	134	233	81	207	180	276	134	234	81	254	180	228
50	130	227	81	209	182	280	130	234	81	254	182	228
51	130	229	81	209	182	278	130	234	81	254	182	228
52	134	233	82	202	186	281	134	234	82	254	186	228
53	136	234	80	202	184	280	136	234	80	254	184	228
54	134	231	82	208	184	277	134	234	82	254	184	228
55	136	237	80	204	182	275	136	234	80	254	182	228
56	138	239	80	206	180	271	138	234	80	254	180	228
57	144	243	79	203	178	270	144	234	79	254	178	228
58	144	243	80	204	178	269	144	234	80	254	178	228
59	148	251	75	197	176	268	148	234	75	254	176	228
60	144	244	79	205	176	267	144	234	79	254	176	228
61	142	243	78	206	176	267	142	234	78	254	176	228
62	140	238	82	214	174	264	140	234	82	254	174	228
63	146	245	84	214	168	257	146	234	84	254	168	228
64	142	237	87	223	168	256	142	234	87	254	168	228
65	138	233	87	221	172	262	138	234	87	254	172	228
66	140	236	85	219	172	261	140	234	85	254	172	228
67	142	240	83	211	176	265	142	234	83	254	176	228
68	142	239	85	217	172	260	142	234	85	254	172	228
69	142	239	86	214	174	263	142	234	86	254	174	228
70	146	244	85	211	172	261	146	234	85	254	172	228
71	144	241	86	216	170	259	144	234	86	254	170	228
72	142	241	84	214	172	261	142	234	84	254	172	228
73	140	238	85	221	168	257	140	234	85	254	168	228
74	138	235	87	223	170	258	138	234	87	254	170	228
75	138	234	87	225	168	257	138	234	87	254	168	228
76	140	234	89	225	168	257	140	234	89	254	168	228
77	138	230	89	227	170	259	138	234	89	254	170	228
78	136	228	89	231	168	257	136	234	89	254	168	228
79	138	230	88	226	170	260	138	234	88	254	170	228
80	142	234	88	222	170	260	142	234	88	254	170	228
81	146	240	86	216	170	260	146	234	86	254	170	228
82	146	241	85	209	174	266	146	234	85	254	174	228
83	140	237	84	220	168	259	140	234	84	254	168	228
84	140	236	84	218	170	262	140	234	84	254	170	228
85	140	234	86	224	166	258	140	234	86	254	166	228
86	142	238	84	224	162	254	142	234	84	254	162	228
87	148	248	80	212	164	256	148	234	80	254	164	228
88	148	250	78	210	164	256	148	234	78	254	164	228
89	148	251	75	205	166	260	148	234	75	254	166	228
90	150	253	77	203	168	260	150	234	77	254	168	228
91	152	255	77	201	168	260	152	234	77	254	168	228
92	150	253	77	205	166	258	150	234	77	254	166	228
93	148	251	76	206	166	259	148	234	76	254	166	228
94	150	252	78	204	168	260	150	234	78	254	168	228
95	152	255	77	203	166	258	152	234	77	254	166	228
96	150	253	76	192	178	271	150	234	76	254	178	228
97	150	255	74	192	176	269	150	234	74	254	176	228
98	150	252	78	196	176	268	150	234	78	254	176	228
99	150	251	79	191	182	274	150	234	79	254	182	228
100	150	252	78	190	182	274	150	234	78	254	182	228
101	150	249	83	205	172	262	150	234	83	254	172	228
102	150	249	82	198	180	269	150	234	82	254	180	228
103	150	248	81	195	182	273	150	234	81	254	182	228
104	150	248	82	196	182	272	150	234	82	254	182	228
105	150	248	82	196	182	272	150	234	82	254	182	228
106	148	246	82	198	182	272	148	234	82	254	182	228
107	148	246	82	202	178	268	148	234	82	254	178	228
108	148	248	83	197	182	271	148	234	83	254	182	228
109	148	248	83	197	182	271	148	234	83	254	182	228
110	148	248	84	198	182	270	148	234	84	254	182	228
111	150	247	83	197	182	272	150	234	83	254	182	228
112	150	247	84	198	182	271	150	234	84	254	182	228
113	150	247	84	198	182	271	150	234	84	254	182	228
114	148	243	87	203	182	270	148	234	87	254	182	228
115	148	243	87	203	182	270	148	234	87	254	182	228
116	150	247	85	201	180	268	150	234	85	254	180	228
117	150	248	83	197	182	271	150	234	83	254	182	228
118	144	238	88	218	172	260	144	234	88	254	172	228
119	144	238	88	220	170	258	144	234	88	254	170	228
120	144	239	88	220	170	257	144	234	88	254	170	228
121	144	239	88	220	170	257	144	234	88	254	170	228
122	144	240	87	221	168	255	144	234	87	254	168	228
123	142	234	92	226	170	256	142	234	92	254	170	228
124	144	237	90	224	168	255	144	234	90	254	168	228
125	142	239	87	223	168	254	142	234	87	254	168	228
126	144	242	85	217	170	257	144	234	85	254	170	228
127	144	241	84	210	176	265	144	234	84	254	176	228
128	144	241	84	210	176	265	144	234	84	254	176	228
129	144	242	83	211	174	263	144	234	83	254	174	228
130	144	238	88	216	174	262	144	234	88	254	174	228
131	144	242	84	212	174	262	144	234	84	254	174	228
132	144	243	82	210	174	263	144	234	82	254	174	228
133	144	241	85	213	174	262	144	234	85	254	174	228
134	144	241	85	213	174	262	144	234	85	254	174	228
135	144	240	86	222	166	254	144	234	86	254	166	228
136	144	239	88	224	170	253	144	234	88	254	170	228
137	144	239	89	227	168	250	144	234	89	254	168	228
138	144	239	88	226	168	251	144	234	88	254	168	228
139	144	240	87	227	166	249	144	234	87	254	166	228
140	144	240	89	227	168	249	144	234	89	254	168	228
141	142	238	88	228	168	250	142	234	88	254	168	228
142	142	236	91	231	168	249	142	234	91	254	168	228
143	144	239	92	230	168	247	144	234	92	254	168	228
144	146	241	88	224	168	251	146	234	88	254	168	228
145	144	238	90	230	166	248	144	234	90	254	166	228
146	146	241	87	223	168	252	146	234	87	254	168	228
147	148	242	88	222	168	252	148	234	88	254	168	228
148	148	242	88	222	168	252	148	234	88	254	168	228
149	148	242	89	227	166	247	148	234	89	254	166	228
150	148	243	89	227	166	246	148	234	89	254	166	228
151	148	243	88	220	170	253	148	234	88	254	170	228
152	142	239	86	226	168	251	142	234	86	254	168	228
153	144	239	88	224	170	253	144	234	88	254	170	228
154	146	240	90	224	170	252	146	234	90	254	170	228
155	146	240	92	226	170	250	146	234	92	254	170	228
156	146	241	88	222	170	253	146	234	88	254	170	228
157	144	239	87	221	170	256	144	234	87	254	170	228
158	142	235	90	230	168	251	142	234	90	254	168	228
159	146	239	90	224	170	253	146	234	90	254	170	228
160	146	241	88	222	170	253	146	234	88	254	170	228
161	144	239	87	225	170	252	144	234	87	254	170	228
162	144	241	88	222	170	253	144	234	88	254	170	228
163	148	249	86	214	170	253	148	234	86	254	170	228
164	148	249	84	214	170	253	148	234	84	254	170	228
165	146	245	85	217	170	254	146	234	85	254	170	228
166	146	245	85	219	168	252	146	234	85	254	168	228
167	148	250	82	216	166	250	148	234	82	254	166	228
168	146	250	81	217	164	249	146	234	81	254	164	228
169	150	253	82	214	166	249	150	234	82	254	166	228
170	148	252	81	217	164	247	148	234	81	254	164	228
171	146	252	81	217	164	247	146	234	81	254	164	228
172	146	252	80	216	164	248	146	234	80	254	164	228
173	150	253	81	213	166	250	150	234	81	254	166	228
174	148	250	82	212	166	254	148	234	82	254	166	228
175	150	251	82	214	166	251	150	234	82	254	166	228
176	144	241	84	222	166	253	144	234	84	254	166	228
177	142	237	91	233	164	246	142	234	91	254	164	228
178	144	239	93	231	166	246	144	234	93	254	166	228
179	144	240	92	232	162	244	144	234	92	254	162	228
180	146	244	88	220	168	252	146	234	88	254	168	228
181	146	244	88	222	168	250	146	234	88	254	168	228
182	144	241	89	221	170	254	144	234	89	254	170	228
183	146	245	88	218	170	253	146	234	88	254	170	228
184	146	241	91	221	170	254	146	234	91	254	170	228
185	148	240	92	230	166	246	148	234	92	254	166	228
186	144	235	93	233	168	248	144	234	93	254	168	228
187	144	235	94	234	168	247	144	234	94	254	168	228
188	142	232	95	241	164	243	142	234	95	254	164	228
189	146	237	96	240	162	239	146	234	96	254	162	228
190	146	237	96	238	164	241	146	234	96	254	164	228
191	144	233	98	240	164	243	144	234	98	254	164	228
192	144	234	96	238	164	244	144	234	96	254	164	228
193	146	237	95	235	164	244	146	234	95	254	164	228
194	144	234	97	243	160	239	144	234	97	254	160	228
195	144	234	97	243	160	239	144	234	97	254	160	228
196	144	233	98	246	158	237	144	234	98	254	158	228
197	138	231	95	249	158	236	138	234	95	254	158	228
198	138	230	95	249	158	237	138	234	95	254	158	228
199	144	237	94	242	158	237	144	234	94	254	158	228
200	138	231	94	246	160	239	138	234	94	254	160	228
201	140	234	93	243	160	239	140	234	93	254	160	228
202	140	234	93	245	158	237	140	234	93	254	158	228
203	140	232	96	252	154	232	140	234	96	254	154	228
204	140	232	95	251	154	233	140	234	95	254	154	228
205	138	229	98	258	154	229	138	234	98	254	154	228
206	142	234	97	251	154	231	142	234	97	254	154	228
207	142	236	94	248	154	232	142	234	94	254	154	228
208	140	232	95	249	156	235	140	234	95	254	156	228
209	140	233	94	248	156	235	140	234	94	254	156	228
210	140	233	93	245	158	238	140	234	93	254	158	228
211	138	231	93	245	160	240	138	234	93	254	160	228
212	142	235	93	241	160	240	142	234	93	254	160	228
213	142	235	92	238	162	243	142	234	92	254	162	228
214	140	233	92	240	162	243	140	234	92	254	162	228
215	142	235	93	237	164	244	142	234	93	254	164	228
216	146	240	95	239	160	237	146	234	95	254	160	228
217	142	235	94	240	162	241	142	234	94	254	162	228
218	138	229	96	246	162	241	138	234	96	254	162	228
219	142	234	95	239	164	243	142	234	95	254	164	228
220	138	230	95	247	160	239	138	234	95	254	160	228
221	140	231	95	243	162	242	140	234	95	254	162	228
222	142	233	95	239	164	244	142	234	95	254	164	228
223	140	231	95	241	164	244	140	234	95	254	164	228
224	134	225	95	249	162	242	134	234	95	254	162	228
225	138	229	96	244	164	243	138	234	96	254	164	228
226	138	229	95	243	164	244	138	234	95	254	164	228
227	138	229	95	247	160	240	138	234	95	254	160	228
228	132	226	95	245	166	245	132	234	95	254	166	228
229	136	227	95	245	164	244	136	234	95	254	164	228
230	136	227	95	249	160	240	136	234	95	254	160	228
231	132	223	97	259	156	234	132	234	97	254	156	228
232	132	221	99	261	156	234	132	234	99	254	156	228
233	132	221	99	259	158	236	132	234	99	254	158	228
234	132	221	99	259	158	236	132	234	99	254	158	228
235	132	224	97	259	156	233	132	234	97	254	156	228
236	132	224	97	259	156	233	132	234	97	254	156	228
237	132	223	99	263	154	230	132	234	99	254	154	228
238	130	221	98	262	156	233	130	234	98	254	156	228
239	132	223	96	256	158	237	132	234	96	254	158	228
240	132	223	97	257	158	236	132	234	97	254	158	228
241	132	223	98	256	160	237	132	234	98	254	160	228
242	130	221	96	258	158	237	130	234	96	254	158	228
243	132	223	97	257	158	236	132	234	97	254	158	228
244	132	223	97	257	158	236	132	234	97	254	158	228
245	130	221	97	255	162	240	130	234	97	254	162	228
246	130	221	95	253	162	242	130	234	95	254	162	228
247	130	223	95	255	160	238	130	234	95	254	160	228
248	130	223	95	253	162	240	130	234	95	254	162	228
249	132	224	96	252	162	240	132	234	96	254	162	228
250	134	223	100	254	162	239	134	234	100	254	162	228
251	136	226	100	258	158	232	136	234	100	254	158	228
252	132	222	100	260	158	234	132	234	100	254	158	228
253	130	220	99	259	160	237	130	234	99	254	160	228
254	132	222	101	263	158	231	132	234	101	254	158	228
255	134	224	97	255	158	237	134	234	97	254	158	228
256	132	222	97	257	158	237	132	234	97	254	158	228
257	134	224	96	252	160	240	134	234	96	254	160	228
258	132	222	98	258	158	236	132	234	98	254	158	228
259	130	220	99	263	158	233	130	234	99	254	158	228
260	128	218	99	263	158	235	128	234	99	254	158	228
261	126	216	99	265	158	235	126	234	99	254	158	228
262	126	216	100	266	158	234	126	234	100	254	158	228
263	128	218	100	264	158	234	128	234	100	254	158	228
264	130	220	100	262	158	234	130	234	100	254	158	228
265	130	220	100	262	158	234	130	234	100	254	158	228
266	130	220	100	264	156	232	130	234	100	254	156	228
267	130	219	101	265	156	232	130	234	101	254	156	228
268	130	219	101	265	156	232	130	234	101	254	156	228
269	132	220	102	264	156	232	132	234	102	254	156	228
270	134	223	101	263	156	230	134	234	101	254	156	228
271	136	225	102	266	154	225	136	234	102	254	154	228
272	138	227	103	267	152	222	138	234	103	254	152	228
273	136	225	100	258	158	233	136	234	100	254	158	228
274	136	224	102	262	156	230	136	234	102	254	156	228
275	132	220	102	262	160	234	132	234	102	254	160	228
276	134	222	101	259	160	235	134	234	101	254	160	228
277	134	223	101	259	160	234	134	234	101	254	160	228
278	134	223	101	259	160	234	134	234	101	254	160	228
279	136	224	102	258	160	234	136	234	102	254	160	228
280	136	224	102	258	160	234	136	234	102	254	160	228
281	136	224	104	260	160	232	136	234	104	254	160	228
282	136	224	104	264	158	228	136	234	104	254	158	228
283	136	223	105	265	158	228	136	234	105	254	158	228
284	136	223	105	265	158	228	136	234	105	254	158	228
285	138	224	105	265	156	227	138	234	105	254	156	228
286	136	224	104	264	156	228	136	234	104	254	156	228
287	138	228	102	260	156	228	138	234	102	254	156	228
288	136	224	102	264	156	228	136	234	102	254	156	228
289	136	224	104	266	156	226	136	234	104	254	156	228
290	138	229	103	261	156	226	138	234	103	254	156	228
291	138	227	103	263	156	226	138	234	103	254	156	228
292	140	232	100	256	156	228	140	234	100	254	156	228
293	136	224	101	263	156	229	136	234	101	254	156	228
294	136	224	100	260	158	232	136	234	100	254	158	228
295	134	222	101	263	158	231	134	234	101	254	158	228
296	134	223	102	264	158	229	134	234	102	254	158	228
297	134	223	100	260	158	233	134	234	100	254	158	228
298	130	217	103	267	158	232	130	234	103	254	158	228
299	130	217	102	268	156	231	130	234	102	254	156	228
300	128	215	102	268	158	233	128	234	102	254	158	228
301	130	217	103	269	156	230	130	234	103	254	156	228
302	126	212	104	276	154	228	126	234	104	254	154	228
303	128	214	104	274	154	228	128	234	104	254	154	228
304	124	211	103	277	154	228	124	234	103	254	154	228
305	126	214	101	271	156	231	126	234	101	254	156	228
306	130	217	102	268	156	231	130	234	102	254	156	228
307	124	211	103	281	150	224	124	234	103	254	150	228
308	124	211	103	281	150	224	124	234	103	254	150	228
309	124	211	103	281	150	224	124	234	103	254	150	228
310	126	213	102	280	148	223	126	234	102	254	148	228
311	126	213	102	278	150	225	126	234	102	254	150	228
312	128	215	102	274	152	227	128	234	102	254	152	228
313	128	215	102	276	150	225	128	234	102	254	150	228
314	128	214	104	280	148	222	128	234	104	254	148	228
315	126	213	102	276	152	227	126	234	102	254	152	228
316	126	213	102	274	154	229	126	234	102	254	154	228
317	128	213	104	274	154	229	128	234	104	254	154	228
318	130	215	104	276	150	225	130	234	104	254	150	228
319	128	211	106	280	150	225	128	234	106	254	150	228
320	128	213	104	280	150	223	128	234	104	254	150	228
321	128	211	106	282	150	223	128	234	106	254	150	228
322	128	211	106	284	148	221	128	234	106	254	148	228
323	124	207	108	292	148	217	124	234	108	254	148	228
324	124	207	108	292	148	217	124	234	108	254	148	228
325	124	207	108	292	148	217	124	234	108	254	148	228
326	124	207	108	290	148	219	124	234	108	254	148	228
327	124	207	108	288	150	221	124	234	108	254	150	228
328	124	207	108	290	150	219	124	234	108	254	150	228
329	124	207	107	289	150	220	124	234	107	254	150	228
330	124	209	109	291	148	216	124	234	109	254	148	228
331	124	209	109	293	146	214	124	234	109	254	146	228
332	122	207	108	292	148	217	122	234	108	254	148	228
333	122	207	109	293	148	216	122	234	109	254	148	228
334	122	207	110	296	146	213	122	234	110	254	146	228
335	124	209	110	294	146	213	124	234	110	254	146	228
336	124	209	109	293	146	214	124	234	109	254	146	228
337	124	209	111	295	146	212	124	234	111	254	146	228
338	122	208	110	294	146	214	122	234	110	254	146	228
339	122	207	111	293	148	216	122	234	111	254	148	228
340	122	207	111	293	148	216	122	234	111	254	148	228
341	122	207	111	299	144	210	122	234	111	254	144	228
342	124	208	110	296	146	212	124	234	110	254	146	228
343	122	205	112	302	142	209	122	234	112	254	142	228
344	124	207	111	297	144	212	124	234	111	254	144	228
345	124	207	112	296	146	213	124	234	112	254	146	228
346	124	207	113	301	142	208	124	234	113	254	142	228
347	132	215	113	293	142	208	132	234	113	254	142	228
348	128	211	112	294	144	211	128	234	112	254	144	228
349	130	213	112	292	146	211	130	234	112	254	146	228
350	130	213	112	292	146	211	130	234	112	254	146	228
351	130	213	113	295	144	208	130	234	113	254	144	228
352	128	211	115	297	144	208	128	234	115	254	144	228
353	128	212	113	293	146	211	128	234	113	254	146	228
354	128	211	114	294	146	211	128	234	114	254	146	228
355	130	212	115	295	144	209	130	234	115	254	144	228
356	128	210	113	297	142	209	128	234	113	254	142	228
357	128	210	113	297	142	209	128	234	113	254	142	228
358	128	212	114	294	142	210	128	234	114	254	142	228
359	130	212	114	294	144	210	130	234	114	254	144	228
360	134	219	113	287	142	210	134	234	113	254	142	228
361	132	214	115	293	142	209	132	234	115	254	142	228
362	132	216	113	289	142	211	132	234	113	254	142	228
363	130	214	115	291	144	211	130	234	115	254	144	228
364	130	215	113	289	144	212	130	234	113	254	144	228
